id;tracksuit_id;name;size_min;size_max;weight_min;weight_max;comment
1;106;Decat W;150;155;50;55;../data/blob/empty.txt
2;107;Decat W;150;155;50;55;../data/blob/empty.txt
3;109;Decat W;150;155;50;55;../data/blob/empty.txt
4;110;Decat W N;150;155;50;55;../data/blob/empty.txt
5;111;Decat W N;150;155;50;55;../data/blob/empty.txt
6;202;Decat N;160;170;55;60;../data/blob/empty.txt
7;203;Decat N;160;170;55;60;../data/blob/empty.txt
8;204;Decat N;160;170;55;60;../data/blob/empty.txt
9;205;Decat N;160;170;55;60;../data/blob/empty.txt
10;206;Decat N;160;170;55;60;../data/blob/empty.txt
11;214;Decat W;160;170;55;60;../data/blob/empty.txt
12;216;Decat N;160;170;55;60;../data/blob/empty.txt
13;217;Decat N;160;170;55;60;../data/blob/empty.txt
14;218;Decat;160;170;55;60;../data/blob/empty.txt
15;219;Decat;160;170;55;60;../data/blob/empty.txt
